case_id,A,C,D,F,Fa,Fd,regime_comb,S
54,2.9,3.5999999999999996,4.1,5.7,1.2,4.4,FaCADFFd,0.0
55,0.1,7.0,0.2,11.200000000000001,1.7,1.7000000000000002,FaCADFFd,0.0
56,7.4,5.9,0.2,5.800000000000001,0.30000000000000004,0.30000000000000004,FaCADFFd,0.0
57,3.8000000000000003,6.1,1.8,10.4,7.6,0.4,FaCADFSFd,2.0
58,0.0,5.5,0.0,0.0,8.200000000000001,0.30000000000000004,FaCSFd,9.9
59,0.1,2.8,3.7,2.1,3.7,0.5,FaCADFSFd,9.0
60,2.1,4.7,0.6000000000000001,15.6,0.4,0.5,FaCADFFd,0.0
61,2.9,3.0,1.3,10.3,1.3,3.1,FaCADFFd,0.0
62,4.6,4.6,0.2,7.9,0.2,0.4,FaCADFFd,0.0
63,3.1,7.9,0.2,8.1,2.4,0.2,FaCADFFd,0.0
64,0.30000000000000004,0.5,1.1,3.8,6.2,0.0,FaCADFS,10.0
65,1.3,7.9,1.0,10.7,0.6000000000000001,0.4,FaCADFFd,0.0
66,0.0,1.9000000000000001,0.0,0.0,4.2,0.0,FaCS,17.8
67,4.1000000000000005,1.6,1.5,9.2,2.1,1.4,FaCADFFd,0.0
68,3.8,0.7,0.2,5.3999999999999995,5.4,0.1,FaCADFSFd,6.3
69,0.0,2.0,0.0,12.2,7.4,0.30000000000000004,FaCFFd,0.0
70,0.2,4.3,4.4,9.7,4.3,1.0,FaCADFFd,0.0
71,4.2,0.9,2.7,3.9,3.4000000000000004,2.8,FaCADFFd,0.0
72,0.7,2.5,1.2000000000000002,9.2,0.1,4.2,FaCADFFd,0.0
73,4.9,5.1,4.3,2.9,4.8,0.9,FaCADFFd,0.0
74,2.7,4.6,0.4,9.4,0.8,0.0,FaCADF,0.0
75,0.1,1.2,3.6,5.5,8.0,1.5,FaCADFFd,0.0
76,2.2,0.7,2.5,6.1,7.6000000000000005,0.0,FaCADFS,0.8
77,0.30000000000000004,9.4,0.2,11.3,0.30000000000000004,0.4,FaCADFFd,0.0
78,0.0,0.2,0.0,0.0,8.6,0.0,FaCS,12.0
79,4.2,1.8,4.0,2.6,3.1,0.2,FaCADFFd,0.0
80,3.4000000000000004,0.0,5.3,0.7000000000000001,4.3,0.0,FaADFS,10.2
81,8.7,3.3,0.0,3.0,0.2,0.7,FaCAFFd,0.0
82,0.30000000000000004,7.5,1.4,11.8,0.1,0.8,FaCADFFd,0.0
83,2.9,6.9,0.9,11.4,1.3,0.5,FaCADFFd,0.0
84,1.9,1.8,3.9,4.2,4.1,0.0,FaCADF,0.0
85,5.2,1.3,1.3,5.1,5.0,0.0,FaCADF,0.0
86,0.0,0.4,3.0,9.0,0.0,5.5,CDFFd,0.0
87,0.30000000000000004,2.8,6.3,6.4,0.0,6.4,CADFSFd,1.7
88,5.4,0.2,0.4,11.3,4.6,0.0,FaCADF,0.0
89,1.0,7.7,1.2,10.3,0.2,1.5,FaCADFFd,0.0
90,0.0,1.6,7.9,5.1,0.4,0.8,FaCDFSFd,6.1
91,0.1,3.5,0.0,0.7000000000000001,6.7,0.2,FaCAFSFd,12.7
92,0.2,9.1,0.8,11.200000000000001,0.4,0.2,FaCADFFd,0.0
93,0.0,0.0,4.4,12.2,0.0,5.3,DFFd,0.0
94,0.4,2.1,0.9,8.7,0.1,3.7,FaCADFFd,0.0
95,6.3,5.3999999999999995,0.1,9.8,0.7,0.5,FaCADFFd,0.0
96,0.0,4.0,4.3,2.3,4.0,1.3,FaCDFFd,0.0
97,1.0,1.2,1.4,14.5,1.9,1.9,FaCADFFd,0.0
98,0.0,7.9,3.3,1.5,0.9,5.0,FaCDFSFd,3.3
99,5.0,6.0,0.6,2.8,5.4,0.2,FaCADFSFd,3.9
100,0.1,0.0,9.0,3.6,0.0,0.0,ADFS,9.2
101,0.1,6.8,7.0,7.2,0.0,0.8,CADFFd,0.0
102,2.4000000000000004,5.9,1.3,12.0,0.0,0.3,CADFFd,0.0
103,0.4,3.4,2.6999999999999997,2.9,6.5,0.6000000000000001,FaCADFSFd,7.4
104,0.0,4.5,1.9000000000000001,4.2,2.1,0.5,FaCDFSFd,59.1
105,0.8,1.5,2.2,7.8,3.9,1.2,FaCADFSFd,4.5
106,3.6,8.5,2.8000000000000003,7.6000000000000005,1.0,0.4,FaCADFFd,0.0
107,5.0,1.5,3.0,4.8,6.5,0.0,FaCADFS,1.1
108,6.7,4.5,0.1,4.1,0.5,0.0,FaCADF,0.0
109,0.1,6.3,7.5,1.8,6.1,2.1,FaCADFFd,0.0
110,0.7000000000000001,0.0,5.8,0.3,4.3999999999999995,2.1,FaADFSFd,8.6
111,0.6,3.6,0.7,12.3,0.0,0.7,CADFFd,0.0
112,0.5,1.1,2.7,9.6,0.0,4.0,CADFFd,0.0
113,0.8999999999999999,4.9,0.7000000000000001,8.0,0.4,3.0,FaCADFFd,0.0
114,1.1,11.2,0.0,4.1000000000000005,7.2,0.30000000000000004,FaCAFFd,0.0
115,0.3,2.9,1.8,7.6,3.3,0.0,FaCADF,0.0
116,0.0,5.0,0.5,8.3,0.6000000000000001,0.4,FaCDFFd,0.0
117,3.9,4.9,0.0,4.9,2.0,0.2,FaCAFFd,0.0
118,1.8,2.2,2.7,5.2,4.2,0.7,FaCADFFd,0.0
119,5.2,16.1,1.1,8.899999999999999,1.2,1.5,FaCADFFd,0.0
120,0.0,0.8999999999999999,10.1,4.6,0.8999999999999999,0.7,FaCDFSFd,6.7
121,5.0,7.6,0.7,7.2,0.8,0.6000000000000001,FaCADFFd,0.0
122,0.4,5.5,1.2,10.8,0.5,1.5,FaCADFFd,0.0
123,0.0,3.0999999999999996,4.0,7.1,0.0,3.7,CDFFd,0.0
124,0.0,0.0,1.2,1.3,0.0,7.6000000000000005,DFSFd,13.8
125,1.3,3.2,1.5,11.1,4.8,0.0,FaCADF,0.0
126,7.5,0.0,13.0,20.099999999999998,0.7000000000000001,0.0,FaADFS,0.8
127,3.2,1.1,0.4,8.4,2.0,2.8,FaCADFFd,0.0
128,1.6,0.4,0.1,2.0,6.5,0.0,FaCADFS,13.299999999999999
129,0.0,0.2,0.0,0.0,7.1000000000000005,0.0,FaCS,14.6
130,4.4,2.2,7.1,1.5,3.5,0.0,FaCADFS,5.2
131,3.7,1.4000000000000001,1.7,9.3,7.8,0.0,FaCADF,0.0
132,1.7,2.6,1.7000000000000002,3.1,7.8,0.0,FaCADFS,7.0
133,2.5,11.8,9.1,20.2,2.4,0.0,FaCADF,0.0
134,0.7,3.6999999999999997,2.0,9.3,0.2,0.0,FaCADF,0.0
135,0.9,7.1,6.1000000000000005,7.3999999999999995,0.30000000000000004,1.1,FaCADFFd,0.0
136,3.6,1.1,0.0,0.4,5.4,0.0,FaCAFS,13.4
137,0.6,2.6,3.4,9.1,4.0,2.2,FaCADFFd,0.0
138,2.2,2.6999999999999997,1.0,10.3,2.7,3.0,FaCADFFd,0.0
139,0.0,0.4,0.0,0.0,5.2,0.0,FaCS,16.3
140,0.8,4.6,2.3,6.4,3.6,0.2,FaCADFFd,0.0
141,5.4,8.6,0.0,6.1,0.8999999999999999,0.9,FaCAFFd,0.0
142,0.7,4.2,0.5,9.2,0.0,1.3,CADFFd,0.0
143,1.0,3.0,0.0,1.0,6.3,0.0,FaCAFS,4.6
144,4.4,4.6,0.9,9.2,0.8,0.0,FaCADF,0.0
145,0.0,5.3,5.0,8.7,0.0,2.9,CDFFd,0.0
146,4.8999999999999995,2.1,2.0,6.5,0.4,0.0,FaCADF,0.0
147,3.6,0.4,0.0,1.5,4.6000000000000005,0.0,FaCAFS,11.8
148,0.4,3.4,0.6000000000000001,9.4,0.3,1.7999999999999998,FaCADFFd,0.0
149,3.3,3.5,3.2,6.0,3.9,0.0,FaCADF,0.0
150,0.0,0.1,6.2,0.6,7.8,0.1,FaCDFSFd,7.1
151,7.1000000000000005,6.8,0.0,7.2,0.5,0.30000000000000004,FaCAFFd,0.0
152,1.7,0.3,2.0,10.4,1.5,0.0,FaCADF,0.0
153,2.5,0.4,4.6,0.5,5.3,0.0,FaCADFS,10.6
154,1.0,7.3,0.2,1.2,6.0,0.4,FaCADFSFd,5.8
155,4.3,2.3,0.7,9.700000000000001,3.9000000000000004,1.0,FaCADFFd,0.0
156,2.9,8.1,2.0,6.0,2.5,0.4,FaCADFFd,0.0
157,1.2,5.2,0.6000000000000001,9.3,0.8,0.8,FaCADFFd,0.0
158,0.0,0.8,0.0,0.0,7.0,0.1,FaCSFd,40.1
159,0.30000000000000004,1.0,9.200000000000001,2.6,0.0,2.8,CADFFd,0.0
160,0.2,4.0,0.2,10.7,0.0,0.8,CADFFd,0.0
161,0.2,9.200000000000001,0.9,10.3,0.9,0.4,FaCADFFd,0.0
162,1.1,0.8,0.4,13.6,0.0,0.0,CADF,0.0
163,0.2,3.1,2.3,11.8,0.0,4.5,CADFFd,0.0
164,1.4,4.9,2.4,6.8999999999999995,6.300000000000001,0.0,FaCADF,0.0
165,2.4000000000000004,10.0,0.0,6.9,2.7,0.9,FaCAFFd,0.0
166,3.4,6.1,0.7,8.0,0.1,1.6,FaCADFFd,0.0
167,0.8,4.1,0.6,12.5,0.0,4.1,CADFFd,0.0
168,0.0,2.9,0.0,14.6,0.1,6.300000000000001,FaCFFd,0.0
169,0.0,1.5,0.0,0.0,9.7,0.1,FaCSFd,10.6
170,2.0,7.9,0.4,13.1,0.30000000000000004,0.2,FaCADFFd,0.0
171,0.4,9.8,1.6,8.5,1.0,0.6000000000000001,FaCADFFd,0.0
172,0.1,6.8,2.2,11.5,0.0,1.3,CADFFd,0.0
173,3.3000000000000003,2.6,6.5,0.2,3.1,0.0,FaCADFS,6.2
174,0.30000000000000004,3.2,0.2,2.5,0.0,7.4,CADFSFd,10.3
175,0.0,2.8000000000000003,0.0,0.0,9.3,0.0,FaCS,11.8
176,0.8,4.2,5.2,5.0,6.7,0.0,FaCADF,0.0
177,3.9000000000000004,4.9,0.8,7.9,2.7,1.7,FaCADFFd,0.0
178,2.7,5.7,0.0,6.800000000000001,0.5,0.2,FaCAFFd,0.0
179,0.4,4.9,1.3,11.3,0.0,6.0,CADFFd,0.0
180,4.2,3.2,0.2,10.4,0.1,3.8,FaCADFFd,0.0
181,4.4,5.4,1.8,5.4,0.0,4.9,CADFFd,0.0
182,1.1,4.3,1.9,7.6,4.0,0.0,FaCADFS,3.0
183,0.2,2.0,2.2,12.4,7.1000000000000005,0.0,FaCADF,0.0
184,0.8,0.0,0.6000000000000001,14.5,0.0,0.0,ADF,0.0
185,0.0,6.6,5.0,5.3,1.2,0.9,FaCDFSFd,0.9
186,0.3,10.700000000000001,0.4,2.8000000000000003,3.0,3.1,FaCADFSFd,52.0
187,0.0,1.5999999999999999,6.4,1.7,6.3,1.9000000000000001,FaCDFFd,0.0
188,0.1,9.4,0.6000000000000001,9.3,0.2,0.3,FaCADFFd,0.0
189,4.5,1.5,3.6,4.9,2.3,1.3,FaCADFFd,0.0
190,0.0,0.6,0.5,0.5,4.9,0.0,FaCDFS,10.4
191,0.0,9.9,0.4,10.8,0.2,0.6000000000000001,FaCDFFd,0.0
192,4.4,4.7,0.7,7.2,0.9,0.0,FaCADF,0.0
193,0.7,4.7,2.2,9.700000000000001,2.4,0.2,FaCADFFd,0.0
194,0.3,9.7,0.5,10.8,0.2,0.4,FaCADFFd,0.0
195,0.1,8.6,0.30000000000000004,10.2,1.4000000000000001,1.3,FaCADFFd,0.0
196,0.30000000000000004,0.5,8.3,8.9,0.0,3.0,CADFSFd,2.9
197,0.8999999999999999,2.2,1.3,4.9,7.7,0.0,FaCADFS,4.9
198,5.0,8.4,4.7,2.8,2.9,0.0,FaCADFS,0.1
199,4.7,3.1,0.7,8.6,3.7,1.1,FaCADFFd,0.0
200,1.1,10.3,0.4,8.8,0.4,0.9,FaCADFFd,0.0
201,1.6,0.8,4.5,6.3,8.7,0.0,FaCADF,0.0
202,2.6,4.2,1.2,9.7,1.5,4.7,FaCADFFd,0.0
203,1.2,7.8,1.4000000000000001,9.4,0.8,1.3,FaCADFFd,0.0
204,0.0,5.7,6.5,8.9,2.3,0.5,FaCDFFd,0.0
205,3.9,4.300000000000001,2.9,2.2,3.1,1.5,FaCADFFd,0.0
206,5.1,3.7,0.0,2.7,6.1,0.2,FaCAFSFd,2.1
207,0.0,5.3999999999999995,4.3,8.7,1.8,1.7,FaCDFFd,0.0
208,2.5,1.0,0.9,12.1,3.4000000000000004,0.0,FaCADF,0.0
209,2.4,6.0,0.8,6.7,0.0,0.0,CADF,0.0
210,0.0,0.6000000000000001,5.8,4.4,0.0,3.4,CDFSFd,7.7
211,1.1,7.3,0.0,7.7,7.7,0.1,FaCAFFd,0.0
212,3.8,1.8,0.5,3.8,4.4,0.0,FaCADFS,7.6
213,3.9,8.1,0.2,7.6,0.1,2.0,FaCADFFd,0.0
214,0.3,0.8,2.5,2.2,0.0,7.7,CADFSFd,8.4
215,7.0,5.3,0.0,3.4,0.0,0.2,CAFFd,0.0
216,0.1,0.0,7.2,3.4,2.5,0.0,FaADFS,8.7
217,2.5,3.4,4.2,7.1,6.5,0.2,FaCADFFd,0.0
218,0.2,0.4,4.3,10.8,0.0,2.1999999999999997,CADFFd,0.0
219,0.7,3.1,0.5,9.7,7.7,0.2,FaCADFFd,0.0
220,2.6,6.8,0.5,9.700000000000001,1.9,0.4,FaCADFFd,0.0
221,0.7,5.9,1.2,7.9,2.0,0.2,FaCADFFd,0.0
222,2.2,4.800000000000001,0.2,9.9,0.6000000000000001,0.2,FaCADFFd,0.0
223,1.1,4.9,0.0,0.0,6.7,0.30000000000000004,FaCASFd,4.9
224,0.0,2.9,6.199999999999999,0.3,7.8,0.7,FaCDFFd,0.0
225,0.0,1.5,7.8,3.6,0.0,2.8,CDFSFd,6.2
226,0.0,0.7000000000000001,0.0,0.0,7.6000000000000005,0.4,FaCSFd,15.2
227,1.0,3.6,5.2,8.7,2.8,2.6,FaCADFFd,0.0
228,7.0,2.2,2.2,5.7,0.0,4.8,CADFFd,0.0
229,5.1,1.2,0.7,10.2,2.4,0.3,FaCADFFd,0.0
230,0.2,0.0,9.3,5.0,0.0,2.6,ADFSFd,4.8
231,0.1,5.2,7.1,0.4,5.1,0.0,FaCADF,0.0
232,8.3,14.7,2.2,15.0,1.0,0.9,FaCADFFd,0.0
233,0.2,5.8,11.0,2.5,0.7,1.7000000000000002,FaCADFFd,0.0
234,1.3,0.8,3.4,9.6,0.0,6.8,CADFFd,0.0
235,4.7,3.8,1.0,11.0,3.4,0.0,FaCADF,0.0
236,0.30000000000000004,6.2,0.5,17.1,0.0,10.9,CADFSFd,13.0
237,7.0,3.2,1.9,5.2,1.0,3.6,FaCADFFd,0.0
238,1.2999999999999998,9.4,2.5,1.4000000000000001,6.3,1.0,FaCADFFd,0.0
239,0.8,4.9,0.6000000000000001,7.9,0.9,0.8,FaCADFFd,0.0
240,0.0,0.8,0.0,2.2,5.3,0.0,FaCFS,13.6
241,0.7,3.7,0.6,7.4,0.2,3.3,FaCADFFd,0.0
242,4.1,7.3,1.1,5.3,3.9,0.0,FaCADFS,0.2
243,0.0,3.4,3.2,8.5,0.0,6.8,CDFFd,0.0
244,4.8,1.6,0.5,3.7,6.1,0.1,FaCADFSFd,7.1
245,2.9,5.9,0.0,9.8,0.5,0.8,FaCAFFd,0.0
246,3.9,1.4000000000000001,3.3,21.5,9.4,7.5,FaCADFSFd,1.0
247,0.0,6.5,0.0,0.0,7.9,2.8000000000000003,FaCSFd,24.8
248,0.6000000000000001,0.8,0.0,14.6,7.9,0.0,FaCAF,0.0
249,1.4000000000000001,6.6,1.9,6.3,1.5,0.2,FaCADFFd,0.0
250,0.0,5.2,0.5,9.5,0.1,0.6000000000000001,FaCDFFd,0.0
251,0.6,3.3000000000000003,7.9,4.2,6.9,1.0,FaCADFFd,0.0
252,1.5,1.7999999999999998,2.8,8.9,6.9,0.0,FaCADF,0.0
253,4.4,5.8,0.2,5.5,0.0,0.0,CADF,0.0
254,3.9,0.8,3.9,4.4,5.2,1.7,FaCADFFd,0.0
255,2.4,9.1,1.0,9.0,0.2,0.2,FaCADFFd,0.0
256,3.6,6.7,0.0,4.8999999999999995,6.1,0.0,FaCAFS,1.6
257,0.7,8.2,1.0,11.0,0.5,0.5,FaCADFFd,0.0
258,0.5,10.3,1.0,11.0,0.2,0.9,FaCADFFd,0.0
259,3.3,5.7,4.4,2.2,4.1,2.2,FaCADFFd,0.0
260,5.0,2.3,4.7,11.6,4.5,1.9000000000000001,FaCADFFd,0.0
261,5.5,3.0999999999999996,0.2,6.4,2.7,0.0,FaCADF,0.0
262,1.1,4.0,0.6000000000000001,9.9,0.2,2.1,FaCADFFd,0.0
263,0.1,0.8999999999999999,1.2000000000000002,3.0,4.3,0.0,FaCADFS,14.4
264,0.0,0.5,0.0,0.0,5.5,0.0,FaCS,17.9
265,3.4,8.8,0.8,8.0,0.5,0.4,FaCADFFd,0.0
266,1.0,4.8,0.4,9.2,0.3,0.2,FaCADFFd,0.0
267,4.2,1.0,2.2,7.9,6.6,0.0,FaCADF,0.0
268,0.1,10.4,1.4,8.2,1.6,0.2,FaCADFFd,0.0
269,0.0,5.5,11.3,4.4,0.6,2.0999999999999996,FaCDFFd,0.0
270,0.4,4.8,0.0,9.2,7.5,0.0,FaCAF,0.0
271,2.3,7.7,0.6000000000000001,7.1,0.2,0.0,FaCADF,0.0
272,4.1000000000000005,3.9,1.3,8.2,4.4,0.0,FaCADF,0.0
273,0.4,6.7,1.0,7.0,0.2,0.6000000000000001,FaCADFFd,0.0
274,1.1,4.7,0.9,12.8,0.4,0.0,FaCADF,0.0
275,3.2,4.7,1.8,6.2,0.0,0.0,CADF,0.0
276,2.2,3.2,3.6,5.2,2.0,1.7,FaCADFFd,0.0
277,6.1,4.9,0.5,4.5,4.8,0.7,FaCADFSFd,0.4
278,7.5,0.8,1.3,7.9,4.6,1.7999999999999998,FaCADFFd,0.0
279,3.3,2.9000000000000004,0.6000000000000001,10.6,2.5,0.0,FaCADF,0.0
280,5.7,5.7,0.2,0.4,4.5,0.4,FaCADFSFd,1.0
281,0.2,0.2,5.7,4.1,0.0,3.8,CADFSFd,5.9
282,2.1,2.4,0.0,0.0,7.5,0.0,FaCAS,2.8
283,0.0,3.2,1.0,8.8,5.8,0.0,FaCDF,0.0
284,0.1,0.5,5.5,6.9,0.0,4.6,CADFSFd,6.3
285,0.0,0.8999999999999999,0.0,0.0,8.4,0.0,FaCS,12.6
286,1.2,0.5,4.9,1.3,6.9,1.1,FaCADFFd,0.0
287,1.0,1.1,3.0,10.1,6.7,0.0,FaCADF,0.0
288,4.4,2.4,0.7,5.1,5.8,0.0,FaCADFS,3.5
289,1.7,6.0,2.1,13.3,0.6,0.2,FaCADFFd,0.0
290,0.8,1.3,3.1,6.1,3.7,0.9,FaCADFFd,0.0
291,1.4,4.9,3.0,11.8,2.4,0.4,FaCADFFd,0.0
292,0.30000000000000004,9.3,0.9,10.6,0.6000000000000001,0.2,FaCADFFd,0.0
293,2.5,1.4,7.9,7.2,4.1,0.8,FaCADFFd,0.0
294,1.4000000000000001,0.4,1.9,3.6,9.0,0.0,FaCADFS,2.6
295,5.0,3.7,0.1,7.4,5.7,0.0,FaCADF,0.0
296,0.2,6.9,3.2,8.6,2.7,2.3,FaCADFFd,0.0
297,2.4,5.9,1.9,9.5,1.0,1.2,FaCADFFd,0.0
298,1.0,5.2,1.0,10.2,2.1,2.4,FaCADFFd,0.0
299,5.3,6.4,0.30000000000000004,6.3,0.0,1.6,CADFFd,0.0
300,3.3000000000000003,0.30000000000000004,0.7000000000000001,10.700000000000001,4.5,0.0,FaCADFS,73.0
301,6.7,3.2,0.0,5.3,5.3,1.4,FaCAFFd,0.0
302,0.0,0.8999999999999999,6.6,8.3,2.3,3.8,FaCDFFd,0.0
303,5.4,5.6,1.2,8.0,2.0,0.6000000000000001,FaCADFFd,0.0
304,1.0,7.5,0.7000000000000001,9.9,0.30000000000000004,0.5,FaCADFFd,0.0
305,2.0,2.5,1.6,6.1,7.5,0.0,FaCADFS,2.2
306,8.1,0.0,5.1000000000000005,8.700000000000001,0.0,0.0,ADF,0.0
307,0.0,0.0,1.0,16.4,6.5,0.0,FaDF,0.0
308,0.0,0.7,6.1,0.8999999999999999,6.3,1.9000000000000001,FaCDFFd,0.0
309,1.8,8.9,0.4,9.8,0.0,1.0,CADFFd,0.0
310,3.1,7.3,3.4,5.3,4.8,0.0,FaCADF,0.0
311,0.0,6.9,9.0,4.2,0.0,1.7999999999999998,CDFFd,0.0
312,1.3,6.1,4.5,6.7,0.5,2.8,FaCADFFd,0.0
313,2.1999999999999997,7.4,0.2,9.6,0.7,1.8,FaCADFFd,0.0
314,4.0,2.0,1.2,7.8,2.7,4.2,FaCADFFd,0.0
315,1.0,3.7,2.5,11.3,2.3,1.1,FaCADFFd,0.0
316,1.5,4.0,3.4000000000000004,6.2,0.8,0.0,FaCADF,0.0
317,0.4,5.9,4.6000000000000005,5.6,5.4,0.0,FaCADF,0.0
318,0.0,3.4,4.8,3.4000000000000004,0.0,4.3,CDFFd,0.0
319,0.0,1.5,0.3,0.0,7.2,0.0,FaCDS,12.9
320,2.8,6.5,2.2,6.7,0.7,3.0,FaCADFFd,0.0
321,1.1,7.7,0.2,8.200000000000001,0.1,0.6000000000000001,FaCADFFd,0.0
322,1.0,8.2,5.4,6.8,0.2,0.30000000000000004,FaCADFFd,0.0
323,3.8,7.199999999999999,1.7,8.2,1.9000000000000001,1.1,FaCADFFd,0.0
324,3.4,2.6999999999999997,0.0,9.6,0.0,2.2,CAFFd,0.0
325,0.0,3.4000000000000004,7.2,0.8999999999999999,7.0,0.9,FaCDFSFd,2.5
326,3.2,2.3,3.5,10.2,4.1,0.6000000000000001,FaCADFFd,0.0
327,0.8,0.4,5.2,0.6,4.9,0.0,FaCADFS,36.2
328,0.5,5.5,0.4,10.4,0.30000000000000004,0.8,FaCADFFd,0.0
329,0.0,0.1,8.8,3.6,0.0,1.2,CDFSFd,2.2
330,1.8,2.4,1.7,9.0,2.6,0.4,FaCADFFd,0.0
331,0.0,0.5,7.0,5.4,0.0,6.0,CDFSFd,3.0
332,2.1,3.0,1.2000000000000002,11.9,3.5,0.2,FaCADFFd,0.0
333,0.8999999999999999,6.7,1.2000000000000002,12.3,0.4,0.4,FaCADFFd,0.0
334,0.1,1.9,3.5,5.8,0.0,4.6,CADFFd,0.0
335,4.8,5.7,2.0,6.1,3.8,0.4,FaCADFFd,0.0
336,2.2,7.699999999999999,0.4,7.9,0.7,1.0,FaCADFFd,0.0
337,2.6,0.0,3.0,24.1,0.4,0.0,FaADF,0.0
338,0.8,4.3,6.9,5.8999999999999995,2.0,0.0,FaCADF,0.0
339,0.4,1.0,0.0,13.0,7.5,0.0,FaCAF,0.0
340,1.1,6.5,0.6000000000000001,14.9,0.1,0.7000000000000001,FaCADFFd,0.0
341,0.0,2.9,8.8,3.7,1.3,1.2,FaCDFFd,0.0
342,0.0,2.2,1.9,3.7,3.1,0.6,FaCDFSFd,4.4
343,2.0,0.0,5.1000000000000005,1.0,0.0,0.0,ADFS,29.900000000000002
344,5.6,5.9,0.0,8.3,1.9,0.2,FaCAFFd,0.0
345,0.1,6.1000000000000005,1.0,7.7,0.4,0.6,FaCADFFd,0.0
346,0.0,8.3,0.0,7.3,7.4,0.9,FaCFFd,0.0
