case_id,A,C,D,F,Fa,regime_comb,Fd,S
69,1.7,0.0,0.0,22.2,0.0,AF,0.0,0.0
70,0.5,0.0,0.8,20.6,0.0,ADF,0.0,0.0
71,0.4,4.300000000000001,5.3,9.2,3.5,FaCADFSFd,0.9,0.3
72,5.8,0.0,0.0,16.1,0.0,AF,0.0,0.0
73,6.1,0.0,0.9,41.1,0.0,ADF,0.0,0.0
74,0.9,2.4,2.0,10.2,6.0,FaCADFFd,0.4,0.0
75,0.0,0.0,2.3,12.1,0.0,DFFd,0.5,0.0
76,6.9,0.0,3.6,37.5,0.0,ADF,0.0,0.0
77,0.0,5.8,4.3,3.8,0.0,CDFFd,2.0,0.0
78,4.9,19.5,0.5,18.5,3.6,FaCADFS,0.0,1.1
79,0.8,0.0,0.5,20.6,0.0,ADF,0.0,0.0
80,0.6,0.0,0.0,21.3,0.0,AF,0.0,0.0
81,3.1,0.0,0.8,11.0,0.0,ADF,0.0,0.0
82,5.7,15.0,2.8000000000000003,29.0,4.4,FaCADFS,0.0,1.2
83,0.0,4.9,2.2,26.7,0.0,CDFSFd,6.8,1.4
84,0.0,0.0,2.8,12.8,0.0,DFFd,0.30000000000000004,0.0
85,2.4000000000000004,9.0,2.4,1.3,0.1,FaCADFFd,0.7,0.0
86,4.1,0.0,0.0,17.0,0.8,FaAF,0.0,0.0
87,4.4,3.0,5.4,11.1,0.0,CADFFd,4.1000000000000005,0.0
88,1.3,0.3,10.1,2.2,5.8,FaCADFSFd,1.8,0.4
89,2.0,0.0,0.8,21.1,0.0,ADF,0.0,0.0
90,0.8,1.3,0.0,19.3,0.5,FaCAF,0.0,0.0
91,0.0,1.2,1.4000000000000001,19.3,0.0,CDF,0.0,0.0
92,6.2,0.0,5.2,11.4,0.0,ADF,0.0,0.0
93,0.0,11.8,2.7,8.2,9.1,FaCDFFd,0.3,0.0
94,0.5,5.0,2.6,12.6,3.0,FaCADFFd,0.2,0.0
95,1.0,1.2,8.5,12.1,0.0,CADF,0.0,0.0
96,0.0,2.1,1.5,11.200000000000001,7.1,FaCDF,0.0,0.0
97,0.8,0.0,4.5,14.6,0.0,ADF,0.0,0.0
98,8.0,6.7,3.5,12.5,0.7,FaCADFFd,2.7,0.0
99,0.3,2.8,9.7,4.7,6.1,FaCADFFd,0.3,0.0
100,0.9,0.0,6.8,10.2,0.0,ADF,0.0,0.0
101,3.2,0.0,5.2,12.6,0.0,ADFFd,0.8999999999999999,0.0
102,2.9,2.2,2.4,6.9,7.0,FaCADFS,0.0,0.5
103,5.3,9.9,10.6,12.6,8.1,FaCADFFd,1.6,0.0
104,3.1,0.9,3.0,14.700000000000001,0.2,FaCADF,0.0,0.0
105,1.5,4.9,7.6000000000000005,6.0,0.0,CADFFd,2.9,0.0
106,5.0,1.7999999999999998,0.9,9.4,3.5,FaCADFSFd,1.0,0.3
107,1.2,0.0,4.8999999999999995,11.8,0.0,ADF,0.0,0.0
108,6.6000000000000005,0.0,6.1,35.3,0.0,ADF,0.0,0.0
109,0.0,1.6,2.8,20.6,0.0,CDFFd,7.0,0.0
110,6.5,0.0,3.7,11.7,0.0,ADF,0.0,0.0
111,2.3,0.0,4.5,14.200000000000001,0.9,FaADF,0.0,0.0
112,0.1,0.9,3.0,11.9,0.0,CADFFd,4.0,0.0
113,0.0,1.4,5.0,9.8,0.0,CDFSFd,4.3,1.4
114,0.0,5.4,0.0,9.9,8.6,FaCF,0.0,0.0
115,2.5,0.0,0.0,15.4,0.0,AF,0.0,0.0
116,1.1,0.8,7.4,13.3,0.0,CADFFd,1.3,0.0
117,3.4000000000000004,2.4,2.3,7.3,4.6,FaCADFFd,1.9,0.0
118,4.0,0.0,6.5,33.6,0.0,ADF,0.0,0.0
119,12.1,0.8,9.3,27.2,0.8999999999999999,FaCADF,0.0,0.0
120,0.0,1.2,4.2,8.9,0.0,CDFFd,3.6,0.0
121,0.0,0.4,4.8,9.6,0.0,CDFFd,3.1,0.0
122,0.9,2.5,1.9,31.0,10.0,FaCADFSFd,0.8,1.0
123,5.5,0.0,5.3,11.1,0.0,ADF,0.0,0.0
124,0.0,1.0,2.6,17.7,0.0,CDFFd,0.6,0.0
125,2.2,4.2,3.8,7.6,4.2,FaCADFFd,0.8999999999999999,0.0
126,8.0,0.0,5.2,8.7,0.0,ADF,0.0,0.0
127,6.1,0.0,1.7999999999999998,14.9,0.0,ADF,0.0,0.0
128,8.5,0.5,7.2,29.7,0.2,FaCADF,0.0,0.0
129,0.7000000000000001,3.6,2.9,6.5,0.0,CADFFd,3.1,0.0
130,3.5,3.5,1.0,8.3,5.6,FaCADF,0.0,0.0
131,4.2,0.0,1.3,18.4,0.0,ADF,0.0,0.0
132,6.0,0.0,2.4,13.5,0.0,ADF,0.0,0.0
133,6.4,0.0,4.3,13.2,0.0,ADF,0.0,0.0
134,1.2,0.0,3.2,39.6,0.0,ADF,0.0,0.0
135,1.8,0.0,4.0,14.3,0.0,ADFFd,2.7,0.0
136,0.0,1.4,0.0,12.8,6.6,FaCFFd,1.1,0.0
137,0.2,0.0,3.7,20.0,0.0,ADF,0.0,0.0
138,5.4,0.0,2.9,13.6,0.0,ADF,0.0,0.0
139,2.8,0.0,4.0,16.7,0.0,ADFS,0.0,0.4
140,2.6,0.0,5.5,13.8,0.0,ADF,0.0,0.0
141,4.6,2.1,2.7,4.7,5.5,FaCADFSFd,1.2999999999999998,1.0
142,5.0,0.0,2.0,15.9,0.0,ADF,0.0,0.0
143,0.9,0.0,0.30000000000000004,20.7,0.0,ADF,0.0,0.0
144,1.1,0.8,4.4,13.8,0.0,CADFFd,3.8,0.0
145,2.0,1.0,2.2,11.200000000000001,5.5,FaCADF,0.0,0.0
146,4.6,0.0,1.2,16.1,0.0,ADF,0.0,0.0
147,7.0,1.4,8.299999999999999,22.3,1.0,FaCADF,0.0,0.0
148,5.2,0.0,1.5,14.3,0.8999999999999999,FaADF,0.0,0.0
149,0.30000000000000004,6.0,0.1,9.9,0.0,CADFSFd,5.0,2.6
150,0.0,4.9,0.0,9.8,4.5,FaCFFd,2.7,0.0
151,6.4,0.0,1.0,16.5,0.0,ADF,0.0,0.0
152,0.0,0.6,0.2,20.4,0.7,FaCDF,0.0,0.0
153,1.3,0.0,0.0,20.6,0.0,AF,0.0,0.0
154,2.0,1.6,2.0,17.5,0.8,FaCADF,0.0,0.0
155,0.0,1.7000000000000002,0.0,12.1,8.1,FaCF,0.0,0.0
156,0.4,0.0,1.7,22.4,0.0,ADF,0.0,0.0
157,4.3,15.700000000000001,11.0,20.9,3.8,FaCADFFd,6.6,0.0
158,0.0,5.9,1.7999999999999998,8.4,0.0,CDFSFd,6.6,1.2
159,3.4,0.9,2.3,9.7,5.6000000000000005,FaCADF,0.0,0.0
160,5.1,0.0,3.6,13.2,0.0,ADF,0.0,0.0
161,4.6,0.0,5.199999999999999,7.1,0.0,ADF,0.0,0.0
162,0.0,5.8,4.4,7.7,0.0,CDFSFd,3.8,1.2
163,2.6,2.7,0.4,14.2,0.0,CADFFd,2.0,0.0
164,3.0,9.0,0.3,5.8,2.1,FaCADFFd,2.7,0.0
165,7.6,7.7,4.3,20.9,2.1,FaCADFS,0.0,3.5
166,2.4,0.0,2.9000000000000004,17.6,0.0,ADF,0.0,0.0
167,5.4,0.0,4.6,11.9,0.0,ADF,0.0,0.0
168,2.1,0.0,0.0,21.8,0.0,AF,0.0,0.0
169,0.0,0.7,3.3,16.2,0.5,FaCDFFd,1.2,0.0
170,8.799999999999999,0.5,5.2,7.3999999999999995,0.0,CADF,0.0,0.0
171,0.0,3.4,0.0,11.6,2.1,FaCFSFd,6.2,0.6
172,3.5,1.1,0.0,17.3,0.0,CAF,0.0,0.0
173,2.3,4.5,2.6,4.8,1.0,FaCADFFd,0.7,0.0
174,8.2,0.4,9.8,23.8,0.0,CADFFd,1.8,0.0
175,0.0,3.8,6.5,7.1,0.0,CDFFd,4.5,0.0
176,0.0,6.8,0.0,6.7,8.4,FaCFSFd,0.2,0.7
177,2.3,1.2,6.3,6.2,4.4,FaCADFFd,1.5,0.0
178,2.3,0.0,0.2,20.9,0.5,FaADF,0.0,0.0
179,3.6,1.5,0.9,15.9,0.0,CADF,0.0,0.0
180,1.5,1.2,3.2,18.0,0.0,CADF,0.0,0.0
181,3.3,1.8,4.6,5.9,4.2,FaCADFFd,2.1,0.0
182,5.2,0.0,1.8,16.9,0.0,ADF,0.0,0.0
183,0.5,0.5,0.0,15.0,5.9,FaCAF,0.0,0.0
184,0.0,0.0,0.7,21.2,0.0,DF,0.0,0.0
185,5.5,0.0,4.7,11.700000000000001,0.0,ADF,0.0,0.0
186,4.4,0.6000000000000001,3.7,14.8,0.4,FaCADF,0.0,0.0
187,0.0,1.7,1.7,8.9,0.0,CDFFd,3.6,0.0
188,0.0,5.4,7.1000000000000005,8.7,0.6,FaCDFFd,2.1,0.0
189,3.0999999999999996,0.5,0.0,12.3,6.0,FaCAF,0.0,0.0
190,3.6,0.0,0.0,18.3,0.0,AF,0.0,0.0
191,3.0,0.0,0.0,19.9,0.0,AF,0.0,0.0
192,1.6,0.0,1.7000000000000002,18.6,0.0,ADF,0.0,0.0
193,1.5999999999999999,0.0,3.0,19.3,0.0,ADF,0.0,0.0
194,3.5,0.0,8.7,8.7,1.0,FaADF,0.0,0.0
195,4.7,0.0,3.1,36.3,0.0,ADF,0.0,0.0
196,0.30000000000000004,0.6,6.7,9.6,0.0,CADFFd,6.7,0.0
197,7.1000000000000005,0.0,0.0,15.6,1.2,FaAF,0.0,0.0
198,9.700000000000001,6.699999999999999,2.1999999999999997,10.3,1.9,FaCADFFd,5.3,0.0
199,0.0,7.3,4.2,4.7,5.7,FaCDF,0.0,0.0
200,0.1,1.3,1.7,18.8,0.0,CADF,0.0,0.0
201,0.0,3.3,5.5,9.8,0.0,CDFFd,5.3,0.0
202,1.8,0.0,0.0,11.2,8.5,FaAFS,0.0,0.4
203,0.0,4.0,9.4,22.2,9.6,FaCDFFd,2.9,0.0
204,1.4,0.0,2.8000000000000003,17.7,0.0,ADF,0.0,0.0
205,0.0,2.8,1.6,12.6,0.0,CDFSFd,6.6,0.3
206,0.5,5.3,0.0,6.1000000000000005,8.4,FaCAFFd,1.6,0.0
207,4.7,0.0,2.8,8.4,0.0,ADF,0.0,0.0
208,9.1,18.8,0.4,10.9,0.9,FaCADF,0.0,0.0
209,0.0,47.3,8.4,12.0,0.0,CDFS,0.0,4.6000000000000005
210,2.2,6.3,4.6,2.2,0.0,CADFFd,0.6,0.0
211,2.4,7.8,5.2,7.1000000000000005,0.0,CADFFd,0.4,0.0
212,0.0,1.3,5.5,14.4,0.0,CDFFd,0.7,0.0
213,0.2,2.5,0.0,9.3,10.3,FaCAFS,0.0,1.6
214,0.0,1.5,0.5,19.3,0.0,CDFFd,0.6,0.0
215,0.0,8.3,3.8,9.700000000000001,0.0,CDFFd,1.6,0.0
216,0.0,5.7,2.9,9.5,2.9,FaCDFS,0.0,0.8999999999999999
217,5.6,0.0,1.5,16.8,0.0,ADF,0.0,0.0
218,1.9,0.0,1.5,42.7,0.0,ADF,0.0,0.0
219,0.7,5.1,6.2,7.1,0.0,CADFFd,2.8,0.0
220,0.1,10.4,6.9,3.7,2.4000000000000004,FaCADFS,0.0,0.4
221,4.0,1.8,2.3,13.5,0.0,CADFFd,0.3,0.0
222,3.1,0.0,0.3,18.4,2.1,FaADF,0.0,0.0
223,0.0,0.0,0.1,21.8,0.0,DF,0.0,0.0
224,0.0,2.3,0.0,19.6,0.0,CF,0.0,0.0
225,0.6000000000000001,7.7,12.7,1.6,0.0,CADFFd,0.2,0.0
226,9.0,0.0,0.0,12.9,0.0,AF,0.0,0.0
227,3.9,7.9,0.0,9.2,0.9,FaCAF,0.0,0.0
228,0.0,9.5,0.2,12.8,0.0,CDFFd,1.1,0.0
229,0.0,2.7,4.9,11.700000000000001,0.0,CDFFd,2.6,0.0
230,0.0,25.2,1.1,30.2,10.7,FaCDFSFd,4.5,4.8
231,4.3,4.0,0.8,8.1,0.0,CADFFd,4.7,0.0
232,4.1,11.5,3.8,13.5,0.0,CADFFd,5.2,0.0
233,4.8,0.7000000000000001,2.0,11.3,5.1,FaCADF,0.0,0.0
234,0.7,0.0,0.0,21.2,0.0,AF,0.0,0.0
235,0.4,0.0,0.3,23.2,0.0,ADF,0.0,0.0
236,2.5,0.0,0.3,19.1,0.0,ADF,0.0,0.0
237,0.0,1.2,8.1,6.2,0.0,CDFFd,6.4,0.0
238,0.0,5.1000000000000005,0.0,11.299999999999999,7.2,FaCFFd,0.30000000000000004,0.0
239,7.5,0.0,4.0,10.4,0.0,ADF,0.0,0.0
240,0.0,0.0,0.2,19.7,0.0,DF,0.0,0.0
241,3.5,0.0,4.6,52.0,0.0,ADF,0.0,0.0
242,3.8,5.2,0.0,9.4,0.0,CAFFd,5.5,0.0
243,5.5,0.0,5.1,11.3,0.0,ADF,0.0,0.0
244,0.4,0.0,0.2,21.3,0.0,ADF,0.0,0.0
245,0.6,0.0,1.9,13.2,0.0,ADFFd,4.2,0.0
246,2.7,18.0,14.2,33.3,3.8,FaCADFS,0.0,0.3
247,6.5,1.5,2.4,11.5,0.0,CADF,0.0,0.0
248,0.6,23.0,2.0,27.4,12.0,FaCADFSFd,0.8,0.7
249,0.0,0.0,4.2,17.7,0.0,DF,0.0,0.0
250,0.0,7.6,8.9,3.6,0.0,CDFFd,1.8,0.0
251,0.0,4.8,0.0,8.0,9.1,FaCF,0.0,0.0
252,1.9,0.0,1.3,20.7,0.0,ADF,0.0,0.0
253,2.2,0.0,0.5,19.2,0.0,ADF,0.0,0.0
254,0.4,0.8999999999999999,4.7,42.1,0.0,CADF,0.0,0.0
255,5.8,0.0,5.4,10.7,0.0,ADF,0.0,0.0
256,1.1,0.0,0.3,20.5,0.0,ADF,0.0,0.0
257,0.2,0.0,3.8,13.3,0.0,ADFFd,6.6,0.0
258,0.0,1.0,0.0,12.0,7.8,FaCFS,0.0,1.1
259,3.7,6.6,2.4,3.7,1.6,FaCADFFd,1.9,0.0
260,0.0,1.0,0.0,16.9,5.1,FaCFS,0.0,0.9
261,5.2,0.0,0.2,16.5,0.0,ADF,0.0,0.0
262,0.0,0.0,0.4,23.5,0.0,DF,0.0,0.0
263,0.5,2.0,0.0,19.4,0.0,CAF,0.0,0.0
264,0.0,11.6,0.7,9.4,0.0,CDFFd,0.2,0.0
265,3.0,0.0,5.1000000000000005,13.8,0.0,ADF,0.0,0.0
266,4.9,0.4,5.8,7.9,0.9,FaCADF,0.0,0.0
267,0.0,4.3,0.0,10.1,9.5,FaCF,0.0,0.0
268,2.1,8.9,0.6000000000000001,28.8,7.4,FaCADFSFd,1.1,0.3
269,4.3,1.6,5.3,10.7,0.0,CADF,0.0,0.0
270,2.9,7.6,5.5,5.9,0.0,CADF,0.0,0.0
271,0.0,0.0,0.1,23.8,0.0,DF,0.0,0.0
272,2.3,1.7999999999999998,4.6,6.9,3.4,FaCADFFd,2.9,0.0
273,0.0,0.0,4.4,17.5,0.0,DF,0.0,0.0
274,2.7,3.3,7.5,2.5,6.5,FaCADFS,0.0,0.4
275,0.30000000000000004,6.5,0.7,14.0,0.4,FaCADF,0.0,0.0
276,2.6,0.0,0.0,19.3,0.0,AF,0.0,0.0
277,0.0,0.9,0.3,20.7,0.0,CDF,0.0,0.0
278,0.0,0.0,6.6,19.3,0.0,DFFd,2.2,0.0
279,5.2,0.0,0.0,16.7,0.0,AF,0.0,0.0
280,5.9,1.2,8.7,19.5,0.1,FaCADFFd,0.7000000000000001,0.0
281,0.0,0.0,0.8,21.1,0.0,DF,0.0,0.0
282,3.8,1.4,4.9,7.5,4.5,FaCADFFd,1.8,0.0
283,0.0,0.8,5.8,14.3,0.0,CDFFd,1.0,0.0
284,4.0,2.0,2.8,6.8,7.2,FaCADFFd,1.1,0.0
285,0.2,0.0,0.0,21.7,0.0,AF,0.0,0.0
286,0.0,0.0,3.8,11.8,0.0,DFFd,6.300000000000001,0.0
287,0.0,0.5,0.0,12.9,9.2,FaCFS,0.0,0.2
288,6.3,0.0,5.1,6.5,0.0,ADF,0.0,0.0
289,3.2,0.0,2.8000000000000003,42.0,0.0,ADF,0.0,0.0
290,0.0,28.8,0.0,28.8,5.7,FaCFFd,10.9,0.0
291,0.0,13.3,0.1,20.8,8.3,FaCDFS,0.0,4.5
292,0.1,1.4,1.9000000000000001,12.5,0.0,CADF,0.0,0.0
293,2.6,9.5,6.3,18.8,7.4,FaCADFFd,3.4,0.0
294,0.1,5.6,7.300000000000001,3.8,6.3,FaCADFS,0.0,0.8
295,6.2,0.0,2.1,13.6,0.0,ADF,0.0,0.0
296,0.4,0.0,0.0,23.5,0.0,AF,0.0,0.0
297,0.2,0.0,0.3,21.4,0.0,ADF,0.0,0.0
298,4.8,0.0,6.4,12.7,0.0,ADF,0.0,0.0
299,3.8,0.4,1.9000000000000001,14.5,1.3,FaCADF,0.0,0.0
300,13.1,19.5,5.8,19.7,0.8,FaCADFFd,5.4,0.0
301,0.4,54.5,9.2,48.5,6.7,FaCADFS,0.0,1.0
302,3.0999999999999996,8.3,1.7,8.0,0.0,CADFFd,0.8,0.0
303,2.6,8.1,3.5,5.4,1.4,FaCADFFd,2.9,0.0
304,0.0,3.7,6.4,8.9,0.0,CDFFd,0.8999999999999999,0.0
305,5.1,0.0,0.5,17.3,0.0,ADF,0.0,0.0
306,0.5,2.8,0.2,18.4,0.0,CADF,0.0,0.0
307,0.30000000000000004,0.0,0.0,23.4,0.0,AF,0.0,0.0
308,0.2,0.0,0.6000000000000001,21.1,0.0,ADF,0.0,0.0
309,2.4,0.0,4.8,16.7,0.0,ADF,0.0,0.0
310,3.7,0.0,0.4,28.0,0.0,ADF,0.0,0.0
311,3.6,4.1,2.1,8.2,3.9,FaCADF,0.0,0.0
312,2.5,5.4,1.8,6.8,0.0,CADFFd,1.4,0.0
313,2.4,11.3,3.3,4.7,0.0,CADFFd,0.2,0.0
314,1.7,0.0,6.2,11.1,0.0,ADFFd,2.9,0.0
315,0.0,1.3,6.0,8.8,0.0,CDFSFd,7.6,0.2
316,0.0,0.30000000000000004,0.0,13.5,8.1,FaCF,0.0,0.0
317,1.0,2.3,1.8,18.6,0.0,CADF,0.0,0.0
318,1.6,0.0,1.7000000000000002,18.6,0.0,ADF,0.0,0.0
319,0.1,0.0,0.0,23.8,0.0,AF,0.0,0.0
320,0.0,0.0,2.8000000000000003,17.9,0.0,DFFd,1.2000000000000002,0.0
321,5.6,2.4,3.9,6.1000000000000005,3.9000000000000004,FaCADF,0.0,0.0
322,5.0,1.8,2.8,3.0,4.8,FaCADFFd,0.5,0.0
323,0.0,11.1,0.0,10.8,0.0,CF,0.0,0.0
324,3.0,14.4,4.5,19.7,0.0,CADFSFd,5.9,0.6
325,1.8,8.9,3.5,5.7,2.0,FaCADF,0.0,0.0
326,3.5,0.1,2.2,13.4,0.0,CADFFd,3.7,0.0
327,6.8,27.1,3.3,41.3,4.7,FaCADFS,0.0,1.3
328,0.0,31.0,8.8,24.5,0.0,CDFSFd,1.9,6.1
329,0.2,11.6,0.6,24.8,9.3,FaCADFSFd,2.2,0.1
330,4.5,0.4,4.7,12.9,0.0,CADFFd,1.4,0.0
331,6.0,0.0,6.2,9.7,0.0,ADF,0.0,0.0
332,5.9,4.0,8.1,23.5,0.0,CADFFd,6.5,0.0
333,0.0,2.4,0.0,9.6,9.9,FaCF,0.0,0.0
334,0.1,0.3,4.8,13.1,0.0,CADFFd,5.6,0.0
335,2.6,0.0,0.0,11.0,7.6000000000000005,FaAFS,0.0,0.7
336,1.4,0.0,0.1,22.4,0.0,ADF,0.0,0.0
337,0.0,2.4000000000000004,3.4,9.7,0.0,CDFSFd,5.5,0.8999999999999999
338,0.0,2.9000000000000004,0.0,14.2,6.8,FaCF,0.0,0.0
339,0.7999999999999999,0.0,0.0,21.1,0.0,AF,0.0,0.0
340,4.4,7.6,2.8,36.2,6.8,FaCADFFd,0.5,0.0
341,2.2,14.3,0.2,17.5,0.6000000000000001,FaCADFSFd,12.1,1.1
342,0.2,0.7,0.0,14.4,8.6,FaCAF,0.0,0.0
343,0.0,0.0,0.0,21.9,0.0,F,0.0,0.0
344,0.0,0.0,0.1,23.8,0.0,DF,0.0,0.0
345,0.0,14.100000000000001,2.9,20.3,0.0,CDFSFd,7.6000000000000005,1.1
346,4.2,0.0,0.6000000000000001,18.0,0.0,ADF,0.0,0.0
347,0.4,28.4,12.9,20.7,10.4,FaCADFFd,1.3,0.0
348,0.5,0.0,2.2,19.2,0.0,ADF,0.0,0.0
349,12.1,1.2,20.1,32.7,2.4,FaCADFFd,1.7,0.0
350,5.9,0.0,0.0,15.5,1.4,FaAF,0.0,0.0
351,2.0,0.0,0.7999999999999999,19.1,0.0,ADF,0.0,0.0
352,6.1,0.0,4.2,13.6,0.0,ADF,0.0,0.0
353,0.8,0.0,1.7,19.4,0.0,ADF,0.0,0.0
354,2.4000000000000004,0.8,8.2,10.3,1.2,FaCADFFd,0.4,0.0
355,1.9000000000000001,1.3,2.4,16.1,0.2,FaCADF,0.0,0.0
356,1.6,8.4,8.2,2.3,2.3,FaCADFFd,1.1,0.0
357,0.9999999999999999,10.4,1.5999999999999999,18.5,1.3,FaCADFFd,1.2,0.0
358,0.0,0.0,5.6,16.3,0.0,DF,0.0,0.0
359,3.7,3.0,0.0,9.4,6.6,FaCAFSFd,0.8,0.4
360,0.4,1.5999999999999999,1.9,18.0,0.0,CADF,0.0,0.0
361,6.9,0.0,5.4,9.6,0.0,ADF,0.0,0.0
362,1.8,0.0,4.7,15.4,0.0,ADF,0.0,0.0
363,0.2,1.1,3.2,10.0,0.0,CADFFd,4.4,0.0
364,0.0,3.4,5.3,8.5,0.0,CDFSFd,7.7,1.2
365,3.3,4.3,0.0,8.4,5.9,FaCAF,0.0,0.0
366,0.4,0.0,0.0,23.5,0.0,AF,0.0,0.0
367,0.30000000000000004,0.0,0.6,21.0,0.0,ADF,0.0,0.0
368,0.2,0.0,2.8,20.9,0.0,ADF,0.0,0.0
369,0.0,5.6,6.8,6.0,0.0,CDFSFd,2.4,1.1
370,1.7000000000000002,7.5,2.4,7.5,2.8,FaCADF,0.0,0.0
371,0.0,5.4,0.3,11.9,4.3,FaCDFFd,2.0,0.0
372,0.0,2.9000000000000004,4.4,8.9,2.4,FaCDFS,0.0,3.3
373,0.30000000000000004,10.1,1.8,8.2,3.5,FaCADF,0.0,0.0
374,4.6,0.7,3.9,7.9,4.5,FaCADFFd,0.3,0.0
375,8.9,0.0,0.0,13.0,0.0,AF,0.0,0.0
376,1.8,0.0,0.2,19.9,0.0,ADF,0.0,0.0
377,0.7,0.0,1.6,20.6,0.0,ADF,0.0,0.0
