case_id,A,D,F,Fa,regime_comb,C,Fd,S
26,1.3,0.3,9.7,5.9,FaCADF,2.6999999999999997,0.0,0.0
27,4.3,1.9,14.4,0.1,FaCADF,1.2,0.0,0.0
28,1.6,2.1,6.6,1.3,FaCADFFd,6.5,3.4000000000000004,0.0
29,0.0,2.4,9.6,0.0,CDFFd,0.8,5.1,0.0
30,0.3,9.7,4.4,0.0,CADFFd,4.3,3.2,0.0
31,0.0,6.6,6.4,0.0,CDFFd,6.8,2.1,0.0
32,0.8,0.0,9.8,6.3,FaCAF,3.0,0.0,0.0
33,3.7,0.0,9.7,5.0,FaCAFSFd,5.0,0.2,0.3
34,3.6,0.2,10.2,6.7,FaCADF,3.2,0.0,0.0
35,6.3,0.2,4.1,1.3,FaCADFFd,3.3,0.7,0.0
36,5.2,0.7,10.0,0.0,ADF,0.0,0.0,0.0
37,6.7,0.4,11.2,0.8,FaCADF,4.8,0.0,0.0
38,2.9,0.6,14.4,0.0,ADF,0.0,0.0,0.0
39,7.3,0.0,0.0,1.7000000000000002,FaCAS,5.5,0.0,1.4
40,3.6,0.30000000000000004,11.0,5.2,FaCADF,1.7999999999999998,0.0,0.0
41,7.4,0.0,5.5,3.3,FaCAFS,5.2,0.0,0.5
42,0.0,0.0,7.0,12.2,FaCF,2.6999999999999997,0.0,0.0
43,1.5999999999999999,0.0,9.4,6.9,FaCAFS,2.6,0.0,1.4000000000000001
44,0.30000000000000004,0.0,7.3,2.5,FaCAFSFd,7.1,0.2,0.5
45,0.0,0.0,5.7,5.0,FaCFS,4.1000000000000005,0.0,1.1
46,0.0,5.4,7.300000000000001,0.0,CDFFd,4.7,4.5,0.0
47,10.6,0.0,11.1,1.1,FaAF,0.0,0.0,0.0
48,5.1,2.6999999999999997,7.1,4.0,FaCADFFd,2.8,0.2,0.0
49,1.4,1.4,19.1,0.0,ADF,0.0,0.0,0.0
50,4.1,1.0,12.8,0.0,ADF,0.0,0.0,0.0
51,1.4,0.6,19.9,0.0,ADF,0.0,0.0,0.0
52,1.2,1.0999999999999999,13.6,0.0,ADF,0.0,0.0,0.0
53,0.2,9.0,3.3,2.6,FaCADFFd,3.6,3.2,0.0
54,0.0,9.5,1.0,6.1,FaCDFFd,1.6,1.7000000000000002,0.0
55,0.0,11.0,0.9,4.5,FaCDFFd,1.4,2.1,0.0
56,0.0,7.9,2.3,2.0,FaCDFFd,3.0,0.7,0.0
57,5.7,1.2000000000000002,9.0,0.0,ADF,0.0,0.0,0.0
58,4.8999999999999995,3.0,14.0,0.0,ADF,0.0,0.0,0.0
59,7.7,0.4,6.2,1.6,FaADF,0.0,0.0,0.0
60,7.1,3.8000000000000003,10.2,5.6,FaCADFFd,5.3,0.1,0.0
61,4.2,7.0,8.700000000000001,0.0,ADF,0.0,0.0,0.0
62,5.3,0.8,13.3,2.5,FaADF,0.0,0.0,0.0
63,3.8,4.8,15.3,0.0,ADF,0.0,0.0,0.0
64,1.2,0.8,16.7,0.4,FaCADF,0.8,0.0,0.0
65,1.1,2.6,16.2,0.0,ADF,0.0,0.0,0.0
66,5.1000000000000005,5.1,5.7,0.0,ADF,0.0,0.0,0.0
67,2.5999999999999996,1.2,7.3,4.3,FaCADFFd,1.0,3.5,0.0
68,3.1,0.4,16.4,0.0,ADF,0.0,0.0,0.0
69,4.8,1.0,14.1,0.0,ADF,0.0,0.0,0.0
70,2.0,0.9,14.3,5.7,FaCADFSFd,16.3,0.3,2.5
71,0.1,8.8,0.5,2.7,FaCADFS,2.7,0.0,1.1
72,1.9,0.9,13.1,0.0,ADF,0.0,0.0,0.0
73,0.2,0.1,18.0,0.1,FaCADF,1.5,0.0,0.0
74,1.2000000000000002,2.2,11.9,0.0,CADFFd,1.6,1.0,0.0
75,1.9,0.0,16.0,0.0,AF,0.0,0.0,0.0
76,0.5,2.0,20.4,0.0,ADF,0.0,0.0,0.0
77,2.3,1.7000000000000002,4.4,0.6000000000000001,FaCADFFd,5.4,1.5,0.0
78,3.5,4.300000000000001,1.9000000000000001,4.3,FaCADF,1.9,0.0,0.0
79,1.4,0.0,7.7,0.0,CAF,6.800000000000001,0.0,0.0
80,0.7,0.3,8.1,0.0,CADF,6.8,0.0,0.0
81,5.0,1.5,2.8,3.2,FaCADFS,8.3,0.0,1.1
82,0.0,0.0,6.7,5.9,FaCFS,7.9,0.0,1.4
83,6.7,1.2999999999999998,11.9,0.0,ADF,0.0,0.0,0.0
84,0.4,1.4000000000000001,14.1,0.0,ADF,0.0,0.0,0.0
85,1.1,5.8,11.0,0.0,ADF,0.0,0.0,0.0
86,0.7,4.7,11.3,0.0,CADF,1.2,0.0,0.0
87,1.0,0.30000000000000004,6.9,1.2,FaCADFFd,7.4,0.1,0.0
88,0.5,4.2,13.2,0.0,ADF,0.0,0.0,0.0
89,0.0,0.6,10.4,1.6,FaCDFFd,6.7,0.6,0.0
90,6.5,0.8,5.4,3.4000000000000004,FaCADFFd,1.4,0.4,0.0
91,8.2,2.8000000000000003,6.9,0.0,ADF,0.0,0.0,0.0
92,1.5,0.1,20.3,0.0,ADF,0.0,0.0,0.0
93,2.0,1.3,13.6,0.0,CADF,1.0,0.0,0.0
94,0.0,0.8,16.8,0.0,DFFd,0.0,0.3,0.0
95,0.30000000000000004,1.9,13.7,0.0,ADF,0.0,0.0,0.0
96,0.2,3.4000000000000004,8.8,0.0,CADFSFd,0.7,3.8,1.0
97,1.7,0.0,8.0,6.1,FaCAFS,5.6,0.0,0.5
98,4.6,4.3,1.7999999999999998,4.0,FaCADFFd,6.9,0.30000000000000004,0.0
99,2.1,3.4,10.4,0.0,ADF,0.0,0.0,0.0
100,1.9,8.2,7.7,0.0,CADF,1.1,0.0,0.0
101,0.3,3.0,11.9,0.0,ADFFd,0.0,0.7,0.0
102,0.9,0.4,8.9,0.0,CADF,5.7,0.0,0.0
103,3.6,1.9,10.4,1.4,FaCADFFd,4.6,1.0,0.0
104,2.9,2.6999999999999997,5.1,0.0,CADFSFd,8.5,2.7,2.0
105,0.0,9.799999999999999,2.1,5.5,FaCDFSFd,4.1,0.2,0.2
106,1.0,8.2,0.7,7.9,FaCADFSFd,0.1,1.7000000000000002,0.30000000000000004
107,0.9,3.5,1.7,4.5,FaCADFFd,2.5,2.8,0.0
108,5.199999999999999,6.6,10.4,0.0,CADFFd,1.0,0.7,0.0
109,5.5,4.8,12.0,0.0,CADFFd,0.1,1.5,0.0
110,2.4,6.2,14.8,0.5,FaADF,0.0,0.0,0.0
111,0.0,0.0,10.0,1.1,FaCF,10.8,0.0,0.0
112,7.7,1.0,13.2,0.0,ADF,0.0,0.0,0.0
113,0.4,0.2,15.3,0.0,ADF,0.0,0.0,0.0
114,1.7,4.5,11.7,0.0,ADFFd,0.0,2.0,0.0
115,0.0,0.0,10.7,0.0,CFFd,6.0,1.2,0.0
116,3.8,0.0,5.2,3.4,FaCAFS,5.6,0.0,1.9
117,5.5,0.0,4.6,5.2,FaCAFS,1.1,0.0,1.5
118,1.5999999999999999,5.3,3.6999999999999997,0.0,CADFSFd,2.6999999999999997,2.3,0.3
119,14.0,1.3,2.6,0.0,ADF,0.0,0.0,0.0
120,7.6,3.3,5.3,1.7000000000000002,FaADF,0.0,0.0,0.0
121,0.0,8.7,2.6,2.7,FaCDFFd,5.6,0.3,0.0
122,0.30000000000000004,8.799999999999999,2.1,1.0,FaCADF,5.6,0.0,0.0
123,1.0,0.0,6.6,2.4,FaCAFSFd,7.5,1.4,1.0
124,0.0,0.30000000000000004,7.1,3.6,FaCDFSFd,9.5,0.7,0.7
125,2.8000000000000003,2.0,4.4,3.6,FaCADFSFd,5.7,3.2,0.2
126,0.2,0.2,7.6,1.9000000000000001,FaCADFSFd,9.9,1.2,0.9
127,0.0,7.5,3.2,2.7,FaCDF,2.5,0.0,0.0
128,0.0,6.6,3.1,3.8,FaCDF,4.4,0.0,0.0
129,0.6000000000000001,5.0,7.2,4.9,FaCADFFd,1.8,0.4,0.0
130,0.0,8.1,7.1,0.0,CDFSFd,1.0,5.1,1.6
131,0.0,2.5,5.8,0.0,CDFFd,3.1,6.5,0.0
132,4.5,2.7,6.7,5.0,FaCADF,1.0,0.0,0.0
133,0.2,6.7,5.9,0.0,CADF,11.100000000000001,0.0,0.0
134,0.0,2.4,8.9,0.0,CDF,6.6,0.0,0.0
135,0.6,5.2,7.0,0.7,FaCADFFd,1.6,0.8,0.0
136,0.0,3.0,6.6,0.1,FaCDFSFd,3.9,1.7,0.6
137,0.0,0.0,7.500000000000001,4.8,FaCF,10.5,0.0,0.0
138,2.3000000000000003,0.0,6.5,2.6,FaCAF,11.4,0.0,0.0
139,2.0,0.1,15.8,0.0,ADF,0.0,0.0,0.0
140,0.0,7.8,4.0,0.0,CDF,8.1,0.0,0.0
141,1.7999999999999998,6.2,4.0,0.1,FaCADFFd,6.3,3.5,0.0
142,3.8,2.8,6.3,0.3,FaCADFFd,3.9,2.8,0.0
143,3.7,3.2,5.4,2.3,FaCADFFd,5.6,3.6999999999999997,0.0
144,0.0,0.0,10.4,10.5,FaCF,3.0,0.0,0.0
145,0.1,0.9,7.1,12.3,FaCADFS,3.2,0.0,0.3
146,0.0,13.7,0.4,1.5,FaCDFFd,1.0,3.3,0.0
147,0.7,12.6,0.30000000000000004,0.0,CADFFd,2.0,4.3,0.0
148,1.1,7.2,3.0,1.2999999999999998,FaCADFFd,1.6,3.7,0.0
149,8.6,2.4,4.9,0.0,ADF,0.0,0.0,0.0
150,4.2,0.0,10.2,1.5,FaAF,0.0,0.0,0.0
151,5.7,1.5999999999999999,7.9,0.7,FaADF,0.0,0.0,0.0
152,1.3,0.0,10.4,0.0,CAF,4.1,0.0,0.0
153,0.7000000000000001,1.5,16.0,0.0,CADF,1.7,0.0,0.0
154,0.0,5.8,5.2,0.0,CDFSFd,3.2,2.9,0.8
155,0.0,4.7,8.9,0.0,CDFSFd,0.3,7.7,0.3
156,4.8,0.0,3.3,5.6,FaCAF,6.2,0.0,0.0
157,3.4000000000000004,0.0,10.200000000000001,8.6,FaCAFS,0.7,0.0,1.0
158,1.2000000000000002,1.4,4.2,10.9,FaCADFSFd,3.2,1.7000000000000002,1.3
159,0.9,0.6,6.800000000000001,8.9,FaCADFFd,4.3,2.4,0.0
160,10.8,0.1,6.2,0.8,FaADF,0.0,0.0,0.0
161,6.4,8.7,6.800000000000001,0.0,ADF,0.0,0.0,0.0
162,0.9,0.8,3.8,6.5,FaCADFSFd,8.2,0.3,0.4
163,5.5,0.2,36.1,0.0,CADFS,2.2,0.0,4.1000000000000005
164,3.4,4.4,11.4,0.0,ADFFd,0.0,0.7,0.0
165,1.4,0.0,2.2,2.2,FaCAF,12.1,0.0,0.0
166,3.9,0.0,15.3,0.7,FaAF,0.0,0.0,0.0
167,0.0,0.1,8.6,5.8,FaCDFS,9.1,0.0,0.3
168,0.0,0.0,14.200000000000001,8.5,FaCF,1.2000000000000002,0.0,0.0
169,1.5,1.3,3.5,4.9,FaCADFSFd,2.8,0.7,1.2
170,7.3,4.3,2.4,4.5,FaCADFFd,1.5,1.9,0.0
171,5.2,2.0,4.3,3.9000000000000004,FaCADFFd,1.6,2.9,0.0
172,2.0,0.8,13.1,0.0,ADF,0.0,0.0,0.0
173,1.2000000000000002,1.5,21.2,0.0,ADF,0.0,0.0,0.0
174,12.6,0.4,8.9,0.0,ADF,0.0,0.0,0.0
175,3.9000000000000004,1.2999999999999998,11.700000000000001,0.0,CADF,1.0,0.0,0.0
176,1.3,0.4,8.3,6.8,FaCADF,1.1,0.0,0.0
177,0.0,1.4,9.5,0.0,CDFFd,6.4,0.6,0.0
178,0.1,2.9,7.2,0.7000000000000001,FaCADFFd,5.4,1.6,0.0
179,0.4,2.2,9.5,1.2,FaCADF,4.6,0.0,0.0
180,2.6,5.4,4.4,5.8,FaCADFSFd,0.4,0.5,0.8
181,3.0,1.4,15.5,0.0,ADF,0.0,0.0,0.0
182,7.1,2.3,7.8,0.0,ADFFd,0.0,0.7,0.0
183,2.2,0.1,3.4,8.1,FaCADF,4.1,0.0,0.0
184,6.7,0.0,4.7,6.5,FaAF,0.0,0.0,0.0
185,1.8,0.0,6.6,9.6,FaCAFS,1.9,0.0,2.0
186,4.4,3.1,7.199999999999999,0.0,ADFS,0.0,0.0,1.2
187,3.5,2.4,3.0,4.6,FaCADF,8.4,0.0,0.0
188,5.7,5.0,0.2,3.4,FaCADFSFd,6.3,0.2,1.1
189,6.2,0.3,17.4,0.0,ADF,0.0,0.0,0.0
190,7.7,1.0,15.200000000000001,0.0,ADF,0.0,0.0,0.0
191,2.3,0.2,16.0,0.0,CADF,1.4,0.0,0.0
192,2.4,0.1,5.7,4.6,FaCADFS,6.7,0.0,0.4
193,2.0,0.0,9.0,4.7,FaCAFS,28.5,0.0,3.9
194,0.0,0.0,12.3,7.4,FaCF,4.2,0.0,0.0
195,1.9000000000000001,0.0,8.8,6.4,FaCAF,6.800000000000001,0.0,0.0
196,5.9,0.0,4.5,4.0,FaCAF,9.5,0.0,0.0
197,0.4,1.5,5.6,0.5,FaCADFSFd,2.4000000000000004,5.3,0.2
198,8.6,0.0,1.7,0.7,FaCAF,4.9,0.0,0.0
199,4.0,1.5999999999999999,3.1,5.3,FaADFFd,0.0,1.9,0.0
200,1.2,0.0,13.3,6.1000000000000005,FaCAF,1.2999999999999998,0.0,0.0
201,2.2,4.9,7.7,4.4,FaCADFFd,2.2,0.5,0.0
202,0.1,0.0,7.300000000000001,5.1,FaCAFFd,5.1,0.3,0.0
203,0.3,0.0,8.7,5.8999999999999995,FaCAFFd,2.4,0.6,0.0
204,0.0,0.1,8.8,5.5,FaCDFSFd,7.4,2.0,0.1
205,1.6,0.7000000000000001,7.5,4.3,FaCADFSFd,7.5,0.9,1.4
206,0.7,0.1,8.1,5.2,FaCADFSFd,6.7,0.8,2.3
207,2.3000000000000003,0.0,7.6000000000000005,5.0,FaCAFS,6.2,0.0,0.8
208,0.0,0.0,9.6,9.6,FaCF,2.7,0.0,0.0
209,6.0,0.0,6.7,3.5999999999999996,FaCAFS,5.0,0.0,0.6
210,5.1,2.9,2.9,2.3,FaCADFFd,7.0,0.7,0.0
211,2.0,1.5,13.3,0.6,FaCADF,0.5,0.0,0.0
212,0.8,0.5,13.6,0.2,FaCADFFd,5.8,1.0,0.0
213,2.3,1.2000000000000002,4.9,2.7,FaCADFFd,3.0,1.8,0.0
214,8.5,0.8,5.5,1.1,FaADF,0.0,0.0,0.0
215,8.3,0.4,11.2,2.0,FaADF,0.0,0.0,0.0
216,10.1,0.2,10.5,1.1,FaADF,0.0,0.0,0.0
217,4.1,0.4,6.8,8.8,FaCADF,1.7999999999999998,0.0,0.0
218,1.2,0.0,4.8,2.8,FaCAFS,11.7,0.0,1.4
219,0.0,0.0,7.2,3.4000000000000004,FaCF,11.3,0.0,0.0
220,0.2,0.2,7.4,4.3,FaCADFS,3.3,0.0,6.5
221,2.6,0.30000000000000004,9.6,1.3,FaCADF,4.1,0.0,0.0
222,2.5,0.0,10.700000000000001,7.8,FaCAF,1.8,0.0,0.0
223,1.7,0.1,7.8,1.6,FaCADFFd,6.8,1.9000000000000001,0.0
224,3.0,0.7,18.2,0.0,ADF,0.0,0.0,0.0
225,0.0,0.0,15.2,0.0,CF,0.7,0.0,0.0
226,2.5,3.3,14.1,0.0,ADF,0.0,0.0,0.0
227,0.5,4.2,12.3,0.0,CADF,0.9,0.0,0.0
228,0.0,0.1,17.8,0.0,DF,0.0,0.0,0.0
229,1.3,1.7,14.9,0.0,ADF,0.0,0.0,0.0
230,5.7,2.1,2.9,5.7,FaCADFS,0.6,0.0,0.9
231,7.0,0.0,6.8,3.2,FaCAFFd,3.8,1.1,0.0
232,1.4,4.7,7.0,6.5,FaCADFFd,2.1,0.2,0.0
233,2.7,5.1,1.6,3.0,FaCADF,3.5,0.0,0.0
234,1.0,2.2,12.7,0.0,ADF,0.0,0.0,0.0
235,0.0,2.0,16.4,1.0,FaCDF,0.5,0.0,0.0
236,0.0,0.0,11.2,0.0,CFFd,6.4,0.30000000000000004,0.0
237,0.0,0.0,13.6,5.6,FaCFS,3.0,0.0,1.7
238,0.0,3.8,8.7,0.5,FaCDFFd,3.4,3.5,0.0
239,3.9000000000000004,1.2000000000000002,7.4,7.8,FaCADF,1.6,0.0,0.0
240,4.2,2.6,7.6,4.8,FaCADFFd,1.7999999999999998,0.8999999999999999,0.0
241,4.2,1.0,8.4,4.0,FaCADFFd,3.5,0.8,0.0
242,3.3,1.2,17.4,0.0,ADF,0.0,0.0,0.0
243,7.7,5.5,8.7,0.0,ADF,0.0,0.0,0.0
244,0.0,0.0,14.9,0.0,F,0.0,0.0,0.0
245,0.5,0.7,16.6,0.4,FaCADF,0.7,0.0,0.0
246,6.8,6.1000000000000005,6.0,0.0,ADF,0.0,0.0,0.0
247,1.1,1.0,16.8,0.0,ADF,0.0,0.0,0.0
248,5.7,7.6,4.6,0.0,ADF,0.0,0.0,0.0
249,1.0,3.3,16.8,0.5,FaCADF,0.3,0.0,0.0
250,0.0,3.1,18.8,0.0,DF,0.0,0.0,0.0
251,0.0,3.7,18.2,0.0,DF,0.0,0.0,0.0
252,0.0,1.1,22.8,0.0,DF,0.0,0.0,0.0
253,2.6,0.1,10.9,0.0,CADFFd,9.2,1.1,0.0
254,7.1,2.4,14.4,0.0,ADF,0.0,0.0,0.0
255,4.4,4.9,12.6,0.0,ADF,0.0,0.0,0.0
256,1.9000000000000001,0.3,6.7,1.6,FaCADFFd,4.8,0.6,0.0
257,2.3,1.1,12.9,0.0,CADF,1.6,0.0,0.0
258,2.3,4.8,10.0,0.0,CADFFd,0.4,6.4,0.0
259,2.5,3.9,2.5,1.9000000000000001,FaCADFSFd,0.5,6.1,4.5
260,1.3,3.4,6.2,2.7,FaCADFSFd,1.1,4.8,0.4
261,2.0,0.8,6.2,5.4,FaCADFFd,3.0,0.5,0.0
262,2.4,0.0,5.2,6.3,FaCAFS,3.6,0.0,0.4
263,1.4,2.1,4.5,6.1,FaCADFSFd,1.3,1.6,0.8999999999999999
264,1.0,0.2,7.0,11.7,FaADF,0.0,0.0,0.0
265,5.6,0.1,6.3,7.4,FaCADFS,1.6,0.0,0.8999999999999999
266,5.6,0.0,9.7,7.1000000000000005,FaCAF,1.5,0.0,0.0
267,7.3,3.8,1.5,6.5,FaCADFSFd,1.4000000000000001,1.7,1.7000000000000002
268,5.5,0.4,7.9,6.1,FaCADF,4.0,0.0,0.0
269,4.7,3.4,2.5999999999999996,0.7,FaCADFFd,2.5,2.0,0.0
270,1.1,4.0,6.0,6.1,FaCADFFd,3.5,1.2,0.0
271,0.9,0.3,3.9,4.2,FaCADFSFd,6.1,0.9,1.6
272,0.0,6.3,14.6,0.0,DFS,0.0,0.0,1.0
273,2.3,1.1,12.5,0.0,ADF,0.0,0.0,0.0
274,0.3,1.1,13.3,1.2,FaCADFFd,2.6999999999999997,1.3,0.0
275,0.0,4.2,8.9,0.0,CDFSFd,0.2,7.2,1.4
276,2.1,0.0,11.299999999999999,8.1,FaCAF,0.4,0.0,0.0
277,3.9,0.5,10.2,6.0,FaCADF,1.3,0.0,0.0
278,0.0,9.7,3.6,0.2,FaCDFFd,5.8,2.6,0.0
279,0.0,6.2,6.0,0.0,CDFSFd,1.5,7.3,0.9
280,5.5,0.0,10.4,2.0,FaAF,0.0,0.0,0.0
281,7.2,0.0,4.2,0.5,FaCAF,8.0,0.0,0.0
282,13.4,0.8,5.7,0.0,ADF,0.0,0.0,0.0
283,0.7000000000000001,4.6000000000000005,12.6,0.0,ADF,0.0,0.0,0.0
284,4.7,0.0,5.0,3.9000000000000004,FaCAF,2.3,0.0,0.0
285,0.0,0.0,6.6,10.2,FaCFS,2.8000000000000003,0.0,0.3
286,7.2,0.0,5.0,5.4,FaCAFSFd,2.8,0.1,1.4
287,2.9000000000000004,0.1,8.3,2.0,FaCADF,6.6000000000000005,0.0,0.0
288,0.0,1.2,13.2,0.0,CDF,1.5,0.0,0.0
289,4.7,0.0,4.9,3.6,FaCAFS,10.399999999999999,0.0,0.30000000000000004
290,0.1,4.3,7.0,8.1,FaCADF,4.4,0.0,0.0
291,6.8,0.6000000000000001,1.7,4.4,FaCADF,10.4,0.0,0.0
292,3.7,3.7,6.4,4.0,FaADFS,0.0,0.0,2.1
293,0.9,0.0,2.6,3.0,FaCAFS,11.0,0.0,4.4
294,2.2,1.6,6.0,3.1,FaCADF,3.0,0.0,0.0
295,2.4,2.4,10.2,0.4,FaCADF,0.5,0.0,0.0
296,6.9,0.2,16.5,0.3,FaADF,0.0,0.0,0.0
297,9.6,2.6,11.3,0.4,FaADF,0.0,0.0,0.0
298,2.2,3.2,10.1,0.0,ADF,0.0,0.0,0.0
299,1.9,3.2,9.4,0.5,FaCADF,0.5,0.0,0.0
300,0.1,2.8,6.4,0.0,CADFSFd,2.4,8.6,1.6
301,0.0,5.5,5.300000000000001,0.0,CDFSFd,3.0,3.6,0.5
302,7.3,0.0,2.1,4.6000000000000005,FaCAF,3.9,0.0,0.0
303,3.7,1.7,8.1,5.7,FaCADF,0.7,0.0,0.0
304,9.9,0.0,10.6,1.4,FaAF,0.0,0.0,0.0
305,8.2,0.30000000000000004,9.4,0.0,ADF,0.0,0.0,0.0
306,0.0,0.1,5.7,5.5,FaCDFS,4.1,0.0,0.5
307,0.0,5.3999999999999995,1.5,6.9,FaCDFFd,0.6,3.5,0.0
308,7.1,0.6,8.200000000000001,0.0,ADF,0.0,0.0,0.0
309,9.0,0.0,12.9,0.0,AF,0.0,0.0,0.0
310,4.8,2.2,10.9,0.0,ADF,0.0,0.0,0.0
311,1.1,3.4,17.4,0.0,ADF,0.0,0.0,0.0
312,2.1,1.1,12.7,0.0,ADF,0.0,0.0,0.0
313,0.0,12.5,0.8,1.2,FaCDFSFd,5.3,1.3,0.8
314,3.5,6.5,1.1,0.0,CADFFd,4.0,0.8,0.0
315,3.5,0.2,11.5,0.0,ADFS,0.0,0.0,0.7
316,2.5999999999999996,3.4,6.3,5.5,FaCADF,4.1,0.0,0.0
317,1.9,0.0,16.0,0.0,AF,0.0,0.0,0.0
318,2.6,1.0,18.3,0.0,ADF,0.0,0.0,0.0
319,0.5,0.9,16.5,0.0,ADF,0.0,0.0,0.0
320,2.2,1.3,19.4,0.7,FaCADF,0.3,0.0,0.0
321,0.30000000000000004,0.5,20.2,0.0,CADF,2.9000000000000004,0.0,0.0
322,1.2,7.800000000000001,6.3,0.0,CADFFd,0.4,0.2,0.0
323,1.4,2.0,18.5,0.0,ADF,0.0,0.0,0.0
324,0.0,0.0,13.2,0.0,CFFd,7.2,1.5,0.0
325,0.0,2.2,7.1,0.0,CDFFd,2.9,3.7,0.0
326,0.0,8.0,5.9,0.0,CDFSFd,1.9,5.5,0.6
327,1.2,3.0,1.4,3.9,FaCADFFd,7.0,1.4,0.0
328,0.0,0.0,7.199999999999999,9.9,FaCF,0.8,0.0,0.0
329,1.0,1.0,8.9,8.1,FaCADFSFd,1.0,1.5,0.4
330,5.6,0.1,7.5,6.3,FaCADFS,3.0,0.0,1.4
331,0.4,0.0,8.7,0.7,FaCAFFd,5.9,0.2,0.0
332,6.8,1.4,1.8,0.0,CADFSFd,8.6,1.5,1.8
333,2.3,0.0,9.8,5.8,FaCAFS,3.4,0.0,0.6000000000000001
334,2.3,1.2,6.0,7.3,FaCADFS,4.6,0.0,0.5
335,0.0,0.0,8.2,8.8,FaCFS,4.4,0.0,0.5
336,0.5,0.0,11.2,7.1,FaCAFS,2.0,0.0,1.1
337,0.1,3.8,6.2,5.6,FaCADFS,0.1,0.0,4.1
338,4.1,0.30000000000000004,11.5,0.0,ADF,0.0,0.0,0.0
339,0.0,0.4,10.7,4.4,FaCDFS,5.6000000000000005,0.0,0.8
340,10.4,0.5,7.0,0.0,ADF,0.0,0.0,0.0
341,0.0,0.1,21.8,0.0,DF,0.0,0.0,0.0
342,0.0,0.0,16.9,0.0,F,0.0,0.0,0.0
343,2.3000000000000003,0.8999999999999999,13.7,0.0,ADF,0.0,0.0,0.0
344,0.0,9.8,3.3000000000000003,0.0,CDFSFd,5.1,3.3,0.4
345,6.2,0.0,6.4,6.2,FaCAF,1.1,0.0,0.0
346,0.0,0.0,4.4,10.0,FaCF,7.5,0.0,0.0
347,8.1,1.3,2.3,4.8999999999999995,FaCADFFd,0.9,0.4,0.0
348,5.6,1.1,11.2,0.0,ADF,0.0,0.0,0.0
349,2.8,2.9,10.2,0.0,ADF,0.0,0.0,0.0
350,0.0,0.0,6.3,4.1,FaCFS,11.2,0.0,0.3
351,0.0,0.0,12.8,4.4,FaCFS,0.5,0.0,0.2
352,0.4,1.8,7.3,4.3,FaCADFSFd,7.6000000000000005,0.4,0.1
353,0.0,2.7,2.9,4.1,FaCDFFd,1.6,4.6,0.0
354,0.0,0.0,10.799999999999999,7.6,FaCFS,5.3999999999999995,0.0,0.1
355,0.0,0.0,14.4,6.2,FaCFS,2.0,0.0,1.3
356,1.1,0.0,10.0,5.8,FaCAF,7.0,0.0,0.0
357,0.0,0.1,6.1,3.5,FaCDFSFd,11.7,0.2,2.3000000000000003
358,7.4,0.0,8.5,0.0,AF,0.0,0.0,0.0
359,6.2,0.1,9.1,0.5,FaADF,0.0,0.0,0.0
360,7.9,0.0,8.0,0.0,AF,0.0,0.0,0.0
361,0.3,0.2,4.4,4.8,FaCADFS,7.2,0.0,1.0
362,0.0,4.9,2.0,5.6,FaCDFSFd,2.9,1.8,0.7
363,0.0,0.0,6.1,10.6,FaCF,5.2,0.0,0.0
364,4.2,3.5,8.2,0.0,ADF,0.0,0.0,0.0
365,3.4,0.30000000000000004,3.8,4.5,FaCADFS,3.3000000000000003,0.0,0.6000000000000001
